         q Iq_parallel Iq_perpendicular
  0.055511  47.878039   4.199695 
  0.055820  49.382854   2.108394 
  0.056131  45.253218   4.697287 
  0.056435  45.762755   2.814078 
  0.056737  43.535632   7.435740 
  0.057044  40.926438   6.504131 
  0.057353  42.202840   5.369812 
  0.057658  37.556547   3.704264 
  0.057961  35.661324   4.064770 
  0.058264  37.934787   4.833840 
  0.058572  37.295148   4.419639 
  0.058877  35.656109   2.548294 
  0.059183  33.101512   3.684748 
  0.059491  31.338587   4.582020 
  0.059796  31.459918   5.239098 
  0.060104  28.592176   3.956618 
  0.060411  28.886399   4.055917 
  0.060716  26.833949   2.368826 
  0.061020  22.896266   7.057649 
  0.061328  25.522576   4.709415 
  0.061634  24.329715   3.765349 
  0.061934  21.302138   5.931123 
  0.062242  26.625363   2.376825 
  0.062553  22.793110   5.110736 
  0.062860  27.250980   3.034195 
  0.063164  19.785508   5.611665 
  0.063467  21.711728   4.016589 
  0.063773  21.968114   3.685432 
  0.064081  16.059805   9.388350 
  0.064383  17.935603   5.367506 
  0.064691  20.317699   5.124019 
  0.064999  18.846850   3.711770 
  0.065304  15.670443   3.844376 
  0.065611  14.811198   5.107051 
  0.065912  18.187406   4.300050 
  0.066218  16.877602   4.184970 
  0.066527   8.915608   4.659616 
  0.066832  16.543426   5.205902 
  0.067138  15.280240   5.625481 
  0.067443  13.683437   5.088868 
  0.067750  11.204153   4.075646 
  0.068059  12.584607   3.184404 
  0.068364  15.062965   5.301395 
  0.068670  10.326431   7.024323 
  0.068975  11.549626   7.016677 
  0.069280   8.842206   6.175634 
  0.069584  10.916913   6.182181 
  0.069890  10.966773   5.206420 
  0.070204  12.195897   4.462666 
  0.070509  12.385124   4.806246 
  0.070810  10.547731   7.627630 
  0.071113  14.347623  -0.603162 
  0.071420   6.251061   3.213472 
  0.071730  10.021064   6.694653 
  0.072035  11.162127   3.327368 
  0.072337   9.440496   4.060851 
  0.072646  10.771543   6.099300 
  0.072950  10.010820   6.578054 
  0.073253  10.052000   2.427186 
  0.073558   7.784127   6.231345 
  0.073865   5.056514   4.204601 
  0.074176   7.611762   4.377887 
  0.074484   8.931759   3.942683 
